Time (ns),N,cutoff
0.0,4,6
0.001,3,6
0.002,3,6
0.003,3,6
0.004,3,6
0.005,3,6
0.006,3,6
0.007,3,6
0.008,3,6
0.009,4,6
0.01,3,6
0.011,3,6
0.012,3,6
0.013,4,6
0.014,3,6
0.015,3,6
0.016,4,6
0.017,4,6
0.018,4,6
0.019,3,6
0.02,4,6
0.021,4,6
0.022,4,6
0.023,3,6
0.024,3,6
0.025,4,6
0.026,3,6
0.027,4,6
0.028,3,6
0.029,3,6
0.03,4,6
0.031,3,6
0.032,3,6
0.033,3,6
0.034,3,6
0.035,4,6
0.036,3,6
0.037,3,6
0.038,4,6
0.039,4,6
0.04,4,6
0.041,3,6
0.042,3,6
0.043,3,6
0.044,3,6
0.045,3,6
0.046,3,6
0.047,5,6
0.048,3,6
0.049,5,6
0.05,3,6
0.051,3,6
0.052,3,6
0.053,3,6
0.054,3,6
0.055,3,6
0.056,3,6
0.057,5,6
0.058,3,6
0.059,3,6
0.06,3,6
0.061,3,6
0.062,3,6
0.063,3,6
0.064,3,6
0.065,3,6
0.066,3,6
0.067,3,6
0.068,3,6
0.069,3,6
0.07,3,6
0.071,3,6
0.072,3,6
0.073,3,6
0.074,3,6
0.075,3,6
0.076,3,6
0.077,3,6
0.078,3,6
0.079,5,6
0.08,3,6
0.081,3,6
0.082,3,6
0.083,3,6
0.084,3,6
0.085,3,6
0.086,3,6
0.087,3,6
0.088,5,6
0.089,3,6
0.09,3,6
0.091,3,6
0.092,5,6
0.093,3,6
0.094,3,6
0.095,3,6
0.096,3,6
0.097,3,6
0.098,3,6
0.099,5,6
0.0,3,5
0.001,3,5
0.002,3,5
0.003,3,5
0.004,3,5
0.005,3,5
0.006,3,5
0.007,3,5
0.008,3,5
0.009,3,5
0.01,3,5
0.011,3,5
0.012,3,5
0.013,4,5
0.014,3,5
0.015,3,5
0.016,4,5
0.017,3,5
0.018,3,5
0.019,3,5
0.02,3,5
0.021,3,5
0.022,3,5
0.023,3,5
0.024,3,5
0.025,3,5
0.026,3,5
0.027,3,5
0.028,3,5
0.029,3,5
0.03,3,5
0.031,3,5
0.032,3,5
0.033,3,5
0.034,3,5
0.035,3,5
0.036,3,5
0.037,3,5
0.038,3,5
0.039,3,5
0.04,3,5
0.041,3,5
0.042,3,5
0.043,3,5
0.044,3,5
0.045,3,5
0.046,3,5
0.047,3,5
0.048,3,5
0.049,5,5
0.05,3,5
0.051,3,5
0.052,3,5
0.053,3,5
0.054,3,5
0.055,3,5
0.056,3,5
0.057,3,5
0.058,3,5
0.059,3,5
0.06,3,5
0.061,3,5
0.062,3,5
0.063,3,5
0.064,3,5
0.065,3,5
0.066,3,5
0.067,3,5
0.068,3,5
0.069,3,5
0.07,3,5
0.071,3,5
0.072,3,5
0.073,3,5
0.074,3,5
0.075,3,5
0.076,3,5
0.077,3,5
0.078,3,5
0.079,3,5
0.08,3,5
0.081,3,5
0.082,3,5
0.083,3,5
